id,criticality,period,wcet[0],wcet[1],utilization
0,1,40,1.2506020082146303,15.513134482133283,0.3878283620533321
1,0,30,1.1695806839559948,10.079490260388777,0.3359830086796259
2,0,96,4.4450124750667825,28.30045510856938,0.29479640738093105
3,0,83,23.551782485476455,27.712454893311264,0.33388499871459354
4,1,90,26.028059322326172,35.76617754865765,0.3974019727628628
5,0,49,11.025432612344057,11.289059415289058,0.2303889676589604
6,0,42,2.1653350451988462,16.636640103166414,0.3961104786468194
7,1,10,1.200834731743245,3.600030257821227,0.3600030257821227
8,0,80,17.04626279332158,18.867806511670643,0.23584758139588302
9,1,11,3.68547306911689,3.728035870481813,0.338912351861983
