id,criticality,period,wcet[0],wcet[1],utilization
0,0,51,14.291043534881055,20.383799636606565,0.39968234581581497
1,0,87,26.63138620209672,29.067673607748212,0.3341111908936576
2,0,86,2.8242877922368512,4.531484286446242,0.0526916777493749
3,0,72,6.706913420419264,14.432129988428976,0.20044624983929132
4,0,70,12.049653265391502,26.391819048573186,0.37702598640818835
5,1,61,0.22543161584932936,24.22267311688944,0.3970930019162203
6,0,38,11.951369648595502,14.241538286513844,0.3747773233293117
7,0,19,5.891715058977042,7.056172160729824,0.37137748214367494
8,1,91,20.279086839331256,21.90243337063825,0.24068608099602473
9,0,26,9.276105020255933,10.37637722773901,0.39909143183611573
